Scientifc_name,Status,Senior_Junior_synonym,Combination
"Compsura heterura Eigenmann, 1915",accepted,senior,original
"Compsura gorgonae (Evermann & Goldsborough, 1909)",accepted,senior,new
"Cheirodon gorgonae Evermann & Goldsborough, 1909",synonym,senior,original
"Macropsobrycon uruguayanae Eigenmann, 1915",accepted,senior,original
"Macropsobrycon xinguensis Géry, 1973",accepted,senior,original
"Pseudocheirodon arnoldi (Boulenger, 1909)",accepted,senior,new
"Chirodon arnoldi Boulenger, 1909",synonym,senior,original
"Pseudocheirodon affinis Meek & Hildebrand, 1916",synonym,junior,original
"Pseudocheirodon terrabae Bussing, 1967",accepted,senior,original
"Prodontocharax melanotus Pearson, 1924",accepted,senior,original
"Prodontocharax howesi (Fowler, 1940)",accepted,senior,new
"Amblystilbe howesi Fowler, 1940",synonym,senior,original
"Prodontocharax alleni Böhlke, 1953",accepted,senior,original
"Saccoderma melanostigma Schultz, 1944",accepted,senior,original
"Saccoderma hastata (Eigenmann, 1913)",accepted,senior,new
"Odontostilbe hastatus Eigenmann, 1913",synonym,senior,original
"Saccoderma robusta Dahl, 1955",accepted,senior,original
"Heterocheirodon yatai (Casciotta, Miquelarena & Protogino, 1992)",accepted,senior,new
"Odontostilbe yatai Casciotta, Miquelarena & Protogino, 1992",synonym,senior,original
"Heterocheirodon jacuiensis Malabarba & Bertaco, 1999",accepted,senior,original
"Nanocheirodon insignis (Steindachner, 1880)",accepted,senior,new
"Chirodon insignis Steindachner, 1880",synonym,senior,original
"Serrapinnus piaba (Lütken, 1875)",accepted,senior,new
"Chirodon piaba Lütken, 1875",synonym,senior,original
"Cheirodon macropterus Fowler, 1941",ambiguous,questionable,original
"Serrapinnus calliurus (Boulenger, 1900)",accepted,senior,new
"Chirodon calliurus Boulenger, 1900",synonym,senior,original
"Serrapinnus micropterus (Eigenmann, 1907)",accepted,senior,new
"Cheirodon micropterus Eigenmann, 1907",synonym,senior,original
"Cheirodon madeirae Eigenmann, 1915",synonym,junior,original
"Serrapinnus heterodon (Eigenmann, 1915)",accepted,senior,new
"Holesthes heterodon Eigenmann, 1915",synonym,senior,original
"Odontostilbe iheringi Fowler, 1941",synonym,junior,original
"Serrapinnus microdon (Eigenmann, 1915)",accepted,senior,new
"Cheirodon microdon Eigenmann, 1915",synonym,senior,original
"Serrapinnus notomelas (Eigenmann, 1915)",accepted,senior,new
"Cheirodon notomelas Eigenmann, 1915",synonym,senior,original
"Serrapinnus kriegi (Schindler, 1937)",accepted,senior,new
"Cheirodon kriegi Schindler, 1937",synonym,senior,original
"Serrapinnus gracilis (Géry, 1960)",accepted,senior,new
"Cheirodon gracilis Géry, 1960",synonym,senior,original
"Serrapinnus sterbai Zarske, 2012",accepted,senior,original
"Serrapinnus aster Malabarba & Jerep, 2014",accepted,senior,original
"Serrapinnus lucindai Jerep & Malabarba, 2014",accepted,senior,original
"Serrapinnus potiguar Jerep & Malabarba, 2014",accepted,senior,original
"Serrapinnus tocantinensis Malabarba & Jerep, 2014",accepted,senior,original
"Serrapinnus zanatae Jerep, Camelier & Malabarba, 2016",accepted,senior,original
"Acinocheirodon melanogramma Malabarba & Weitzman, 1999",accepted,senior,original
"Kolpotocheirodon theloura Malabarba & Weitzman, 2000",accepted,senior,original
"Kolpotocheirodon figueiredoi Malabarba, Lima & Weitzman, 2004",accepted,senior,original
"Ctenocheirodon pristis Malabarba & Jerep, 2012",accepted,senior,original
"Protocheirodon pi (Vari, 1978)",accepted,senior,new
"Leptagoniates pi Vari, 1978",synonym,senior,original
"Exodon paradoxus Müller & Troschel, 1844",accepted,senior,original
"Epicyrtus exodon Valenciennes, 1850",synonym,junior,original
"Roeboexodon guyanensis (Puyo, 1948)",accepted,senior,new
"Exodon guyanensis Puyo, 1948",synonym,senior,original
"Roeboexodon geryi Myers, 1960",accepted,senior,original
"Bryconexodon juruenae Géry, 1980",accepted,senior,original
"Bryconexodon trombetasi Jégu, Santos & Ferreira, 1991",accepted,senior,original
"Chalceus fasciatus Jardine, 1841",accepted,senior,original
"Chalceus latus Jardine, 1841",accepted,senior,original
"Chalceus taeniatus Jardine, 1841",accepted,senior,original
"Scissor macrocephalus Günther, 1864",accepted,senior,original
"Psellogrammus kennedyi (Eigenmann, 1903)",accepted,senior,new
"Hemigrammus kennedyi Eigenmann, 1903",synonym,senior,original
"Genycharax tarpon Eigenmann, 1912",accepted,senior,original
"Mixobrycon ribeiroi (Eigenmann, 1907)",accepted,senior,new
"Cheirodon ribeiroi Eigenmann, 1907",synonym,senior,original
"Oligobrycon microstomus Eigenmann, 1915",accepted,senior,original
"Thrissobrycon pectinifer Böhlke, 1953",accepted,senior,original
"Schultzites axelrodi Géry, 1964",accepted,senior,original
"Serrabrycon magoi Vari, 1986",accepted,senior,original
"Tucanoichthys tucano Géry & Römer, 1997",accepted,senior,original
"Dectobrycon armeniacus Zarske & Géry, 2006",accepted,senior,original
"Spintherobolus papilliferus Eigenmann, 1911",accepted,senior,original
"Spintherobolus broccae Myers, 1925",accepted,senior,original
"Spintherobolus ankoseion Weitzman & Malabarba, 1999",accepted,senior,original
"Spintherobolus leptoura Weitzman & Malabarba, 1999",accepted,senior,original
"Atopomesus pachyodus Myers, 1927",accepted,senior,original
"Amazonspinther dalmata Bührnheim, Carvalho, Malabarba & Weitzman, 2008",accepted,senior,original
"Stethaprion erythrops Cope, 1870",accepted,senior,original
"Stethaprion chryseum Cope, 1872",synonym,junior,original
"Stethaprion crenatum Eigenmann, 1916",accepted,senior,original
"Stethaprion crenatus Eigenmann, 1916",synonym,senior,original
"Stethaprion innesi Myers, 1932",synonym,junior,original
"Grundulus bogotensis (Humboldt, 1821)",accepted,senior,new
"Poecilia bogotensis Humboldt, 1821",synonym,senior,original
"Ctenocharax bogotensis Regan, 1907",synonym,junior,original
"Grundulus cochae Román-Valencia, Paepke & Pantoja, 2003",accepted,senior,original
"Grundulus quitoensis Román-Valencia, Ruiz C. & Barriga, 2005",accepted,senior,original
"Astyanax argentatus Baird & Girard, 1854",accepted,senior,original
"Astyanax bimaculatus (Linnaeus, 1758)",accepted,senior,new
"Salmo bimaculatus Linnaeus, 1758",synonym,senior,original
"Tetragonopterus maculatus Müller & Troschel, 1845",synonym,junior,original
"Tetragonopterus linnaei Valenciennes, 1850",synonym,junior,original
"Tetragonopterus gronovii Valenciennes, 1850",synonym,junior,original
"Tetragonopterus wappi Valenciennes, 1850",synonym,junior,original
"Tetragonopterus vittatus Castelnau, 1855",synonym,junior,original
"Poecilurichthys brevoortii Gill, 1858",synonym,junior,original
"Tetragonopterus bartlettii Günther, 1866",synonym,junior,original
"Tetragonopterus orientalis Cope, 1870",synonym,junior,original
"Tetragonopterus bahiensis Steindachner, 1877",synonym,junior,original
"Astyanax bimaculatus borealis Eigenmann, 1908",synonym,junior,original
"Astyanax bimaculatus incaicus Tortonese, 1942",synonym,junior,original
"Astyanax abramis (Jenyns, 1842)",accepted,senior,new
"Tetragonopterus abramis Jenyns, 1842",synonym,senior,original
"Astyanax scabripinnis (Jenyns, 1842)",accepted,senior,new
"Tetragonopterus scabripinnis Jenyns, 1842",synonym,senior,original
"Astyanax orbignyanus (Valenciennes, 1850)",accepted,senior,new
"Tetragonopterus orbignyanus Valenciennes, 1850",synonym,senior,original
"Astyanax mexicanus (De Filippi, 1853)",accepted,senior,new
"Tetragonopterus mexicanus De Filippi, 1853",synonym,senior,original
"Tetragonopterus fulgens Bocourt, 1868",synonym,junior,original
"Tetragonopterus nitidus Bocourt, 1868",synonym,junior,original
"Tetragonopterus streetsii Cope, 1872",synonym,junior,original
"Astyanax aeneus (Günther, 1860)",accepted,senior,new
"Tetragonopterus aeneus Günther, 1860",synonym,senior,original
"Astyanax armandoi Lozano-Vilano & Contreras-Balderas, 1990",synonym,junior,original
"Astyanax brevimanus (Günther, 1864)",accepted,senior,new
"Tetragonopterus brevimanus Günther, 1864",synonym,senior,original
"Astyanax panamensis (Günther, 1864)",accepted,senior,new
"Tetragonopterus panamensis Günther, 1864",synonym,junior,original
"Astyanax petenensis (Günther, 1864)",accepted,senior,new
"Tetragonopterus petenensis Günther, 1864",synonym,senior,original
"Astyanax belizianus (Bocourt, 1868)",accepted,senior,new
"Tetragonopterus belizianus Bocourt, 1868",synonym,senior,original
"Astyanax finitimus (Bocourt, 1868)",accepted,senior,new
